Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2019/10/8, 22:00:00, 1.1058, 1.1066, 1.1058, 1.1063, 146, 122, 75, 71
2019/10/9, 02:00:00, 1.1063, 1.1070, 1.1063, 1.1066, 322, 231, 206, 116
2019/10/9, 06:00:00, 1.1066, 1.1095, 1.1060, 1.1089, 1724, 1173, 729, 995
2019/10/9, 10:00:00, 1.1089, 1.1104, 1.1076, 1.1080, 1964, 1233, 866, 1098
2019/10/9, 14:00:00, 1.1081, 1.1089, 1.1075, 1.1077, 1526, 939, 765, 761
2019/10/9, 18:00:00, 1.1078, 1.1087, 1.1073, 1.1076, 847, 530, 494, 353
2019/10/9, 22:00:00, 1.1074, 1.1091, 1.1074, 1.1082, 514, 236, 260, 254
2019/10/10, 02:00:00, 1.1082, 1.1095, 1.1079, 1.1088, 945, 493, 637, 308
2019/10/10, 06:00:00, 1.1089, 1.1123, 1.1086, 1.1120, 2800, 1669, 875, 1925
2019/10/10, 10:00:00, 1.1119, 1.1137, 1.1116, 1.1126, 3598, 2005, 1475, 2123
2019/10/10, 14:00:00, 1.1126, 1.1131, 1.1104, 1.1117, 3351, 2060, 1654, 1697
2019/10/10, 18:00:00, 1.1119, 1.1124, 1.1105, 1.1108, 956, 573, 550, 406
2019/10/10, 22:00:00, 1.1111, 1.1116, 1.1107, 1.1108, 247, 173, 145, 102
2019/10/11, 02:00:00, 1.1108, 1.1121, 1.1108, 1.1119, 490, 297, 203, 287
2019/10/11, 06:00:00, 1.1118, 1.1125, 1.1098, 1.1112, 1478, 1002, 746, 732
2019/10/11, 10:00:00, 1.1112, 1.1170, 1.1110, 1.1150, 4368, 2688, 1878, 2490
2019/10/11, 14:00:00, 1.1147, 1.1165, 1.1129, 1.1153, 4212, 2511, 2029, 2183
2019/10/11, 18:00:00, 1.1152, 1.1154, 1.1134, 1.1140, 883, 559, 464, 419
2019/10/13, 22:00:00, 1.1139, 1.1139, 1.1126, 1.1127, 363, 213, 218, 145
2019/10/14, 02:00:00, 1.1129, 1.1136, 1.1126, 1.1132, 346, 229, 170, 176
2019/10/14, 06:00:00, 1.1132, 1.1134, 1.1113, 1.1132, 1114, 827, 586, 528
2019/10/14, 10:00:00, 1.1129, 1.1143, 1.1124, 1.1125, 1083, 832, 540, 543
2019/10/14, 14:00:00, 1.1124, 1.1131, 1.1118, 1.1130, 1138, 889, 597, 541
2019/10/14, 18:00:00, 1.1129, 1.1133, 1.1123, 1.1128, 311, 257, 173, 138
2019/10/14, 22:00:00, 1.1127, 1.1128, 1.1121, 1.1126, 138, 108, 77, 61
2019/10/15, 02:00:00, 1.1126, 1.1133, 1.1125, 1.1128, 231, 175, 96, 135
2019/10/15, 06:00:00, 1.1129, 1.1145, 1.1110, 1.1126, 1873, 1318, 977, 896
2019/10/15, 10:00:00, 1.1125, 1.1125, 1.1094, 1.1105, 2524, 1608, 1534, 990
2019/10/15, 14:00:00, 1.1106, 1.1146, 1.1090, 1.1122, 5757, 3511, 2742, 3015
2019/10/15, 18:00:00, 1.1123, 1.1139, 1.1117, 1.1133, 1000, 571, 433, 567
2019/10/15, 22:00:00, 1.1133, 1.1135, 1.1130, 1.1131, 167, 100, 113, 54
2019/10/16, 02:00:00, 1.1131, 1.1132, 1.1123, 1.1129, 352, 216, 194, 158
2019/10/16, 06:00:00, 1.1129, 1.1160, 1.1128, 1.1136, 2687, 1523, 1462, 1225
2019/10/16, 10:00:00, 1.1135, 1.1149, 1.1121, 1.1140, 3709, 2298, 1851, 1858
2019/10/16, 14:00:00, 1.1142, 1.1185, 1.1139, 1.1181, 3760, 2211, 1592, 2168
2019/10/16, 18:00:00, 1.1180, 1.1180, 1.1164, 1.1172, 1077, 711, 582, 495
2019/10/16, 22:00:00, 1.1171, 1.1182, 1.1171, 1.1180, 456, 189, 132, 324
2019/10/17, 02:00:00, 1.1181, 1.1181, 1.1172, 1.1173, 200, 151, 102, 98
2019/10/17, 06:00:00, 1.1173, 1.1190, 1.1162, 1.1187, 1500, 1006, 715, 785
2019/10/17, 10:00:00, 1.1188, 1.1238, 1.1188, 1.1215, 4891, 3041, 2369, 2522
2019/10/17, 14:00:00, 1.1214, 1.1229, 1.1208, 1.1224, 2206, 1416, 991, 1215
2019/10/17, 18:00:00, 1.1224, 1.1226, 1.1218, 1.1222, 676, 449, 277, 399
2019/10/17, 22:00:00, 1.1224, 1.1226, 1.1219, 1.1224, 168, 120, 72, 96
2019/10/18, 02:00:00, 1.1224, 1.1227, 1.1217, 1.1219, 228, 190, 122, 106
2019/10/18, 06:00:00, 1.1219, 1.1228, 1.1211, 1.1224, 1175, 705, 579, 596
2019/10/18, 10:00:00, 1.1224, 1.1247, 1.1221, 1.1244, 1876, 1181, 866, 1010
2019/10/18, 14:00:00, 1.1244, 1.1256, 1.1231, 1.1254, 3178, 1923, 1519, 1659
2019/10/18, 18:00:00, 1.1255, 1.1269, 1.1252, 1.1266, 1256, 810, 568, 688
2019/10/20, 22:00:00, 1.1253, 1.1259, 1.1247, 1.1257, 427, 310, 205, 222
2019/10/21, 02:00:00, 1.1257, 1.1257, 1.1250, 1.1254, 247, 161, 147, 100
2019/10/21, 06:00:00, 1.1254, 1.1275, 1.1246, 1.1263, 1130, 766, 522, 608
2019/10/21, 10:00:00, 1.1263, 1.1270, 1.1257, 1.1257, 932, 660, 514, 418
2019/10/21, 14:00:00, 1.1257, 1.1259, 1.1235, 1.1247, 2304, 1475, 1260, 1044
2019/10/21, 18:00:00, 1.1247, 1.1249, 1.1241, 1.1246, 621, 396, 342, 279
2019/10/21, 22:00:00, 1.1247, 1.1249, 1.1243, 1.1249, 200, 117, 109, 91
2019/10/22, 02:00:00, 1.1248, 1.1252, 1.1243, 1.1247, 248, 178, 105, 143
2019/10/22, 06:00:00, 1.1248, 1.1252, 1.1229, 1.1236, 1088, 757, 625, 463
2019/10/22, 10:00:00, 1.1236, 1.1244, 1.1219, 1.1222, 1886, 1130, 1007, 879
2019/10/22, 14:00:00, 1.1222, 1.1241, 1.1221, 1.1234, 1606, 1033, 753, 853
2019/10/22, 18:00:00, 1.1236, 1.1249, 1.1213, 1.1220, 2389, 1239, 1241, 1148
2019/10/22, 22:00:00, 1.1220, 1.1225, 1.1219, 1.1221, 175, 128, 82, 93
2019/10/23, 02:00:00, 1.1220, 1.1221, 1.1210, 1.1215, 431, 285, 286, 145
2019/10/23, 06:00:00, 1.1216, 1.1223, 1.1212, 1.1213, 722, 494, 415, 307
2019/10/23, 10:00:00, 1.1212, 1.1219, 1.1201, 1.1217, 1299, 928, 618, 681
2019/10/23, 14:00:00, 1.1216, 1.1218, 1.1206, 1.1214, 1217, 767, 685, 532
2019/10/23, 18:00:00, 1.1215, 1.1234, 1.1212, 1.1223, 895, 577, 348, 547
2019/10/23, 22:00:00, 1.1224, 1.1226, 1.1220, 1.1223, 157, 124, 86, 71
2019/10/24, 02:00:00, 1.1224, 1.1234, 1.1224, 1.1226, 340, 261, 131, 209
2019/10/24, 06:00:00, 1.1225, 1.1254, 1.1215, 1.1223, 2306, 1373, 1420, 886
2019/10/24, 10:00:00, 1.1224, 1.1246, 1.1210, 1.1241, 1660, 1116, 745, 915
2019/10/24, 14:00:00, 1.1242, 1.1243, 1.1184, 1.1198, 4971, 2944, 2829, 2142
2019/10/24, 18:00:00, 1.1199, 1.1202, 1.1191, 1.1196, 622, 427, 311, 311
2019/10/24, 22:00:00, 1.1190, 1.1197, 1.1190, 1.1193, 161, 106, 81, 80
2019/10/25, 02:00:00, 1.1193, 1.1196, 1.1191, 1.1193, 261, 172, 128, 133
2019/10/25, 06:00:00, 1.1192, 1.1214, 1.1192, 1.1212, 1062, 752, 416, 646
2019/10/25, 10:00:00, 1.1211, 1.1213, 1.1187, 1.1191, 1206, 830, 736, 470
2019/10/25, 14:00:00, 1.1190, 1.1196, 1.1164, 1.1164, 2815, 1808, 1723, 1092
2019/10/25, 18:00:00, 1.1164, 1.1173, 1.1164, 1.1172, 699, 457, 305, 394
2019/10/27, 22:00:00, 1.1170, 1.1174, 1.1167, 1.1169, 232, 171, 138, 94
2019/10/28, 02:00:00, 1.1169, 1.1177, 1.1166, 1.1177, 282, 213, 130, 152
2019/10/28, 06:00:00, 1.1177, 1.1186, 1.1175, 1.1180, 1037, 764, 557, 480
2019/10/28, 10:00:00, 1.1182, 1.1197, 1.1175, 1.1185, 1717, 1285, 773, 944
2019/10/28, 14:00:00, 1.1184, 1.1193, 1.1177, 1.1192, 1145, 805, 517, 628
2019/10/28, 18:00:00, 1.1190, 1.1194, 1.1186, 1.1187, 253, 195, 127, 126
2019/10/28, 22:00:00, 1.1189, 1.1191, 1.1181, 1.1184, 255, 178, 146, 109
2019/10/29, 02:00:00, 1.1184, 1.1191, 1.1181, 1.1183, 343, 257, 152, 191
2019/10/29, 06:00:00, 1.1183, 1.1183, 1.1165, 1.1167, 1022, 786, 587, 435
2019/10/29, 10:00:00, 1.1166, 1.1189, 1.1163, 1.1185, 2335, 1465, 1171, 1164
2019/10/29, 14:00:00, 1.1185, 1.1207, 1.1185, 1.1197, 2400, 1639, 1063, 1337
2019/10/29, 18:00:00, 1.1196, 1.1202, 1.1194, 1.1200, 429, 307, 220, 209
2019/10/29, 22:00:00, 1.1202, 1.1203, 1.1195, 1.1198, 225, 173, 119, 106
2019/10/30, 02:00:00, 1.1198, 1.1200, 1.1194, 1.1198, 257, 207, 118, 139
2019/10/30, 06:00:00, 1.1199, 1.1212, 1.1198, 1.1200, 1255, 863, 592, 663
2019/10/30, 10:00:00, 1.1200, 1.1215, 1.1189, 1.1196, 2234, 1522, 1198, 1036
2019/10/30, 14:00:00, 1.1197, 1.1213, 1.1194, 1.1203, 1418, 957, 691, 727
2019/10/30, 18:00:00, 1.1203, 1.1239, 1.1167, 1.1238, 3280, 1922, 1593, 1687
2019/10/30, 22:00:00, 1.1238, 1.1256, 1.1238, 1.1251, 791, 507, 336, 455
2019/10/31, 02:00:00, 1.1252, 1.1256, 1.1246, 1.1247, 526, 366, 285, 241
2019/10/31, 06:00:00, 1.1246, 1.1261, 1.1243, 1.1252, 1532, 1064, 633, 899
2019/10/31, 10:00:00, 1.1251, 1.1261, 1.1227, 1.1235, 2832, 1861, 1374, 1458
2019/10/31, 14:00:00, 1.1233, 1.1244, 1.1217, 1.1232, 2529, 1679, 1291, 1238
2019/10/31, 18:00:00, 1.1233, 1.1241, 1.1226, 1.1237, 473, 311, 235, 238
2019/10/31, 22:00:00, 1.1236, 1.1252, 1.1234, 1.1251, 381, 260, 179, 202
2019/11/1, 02:00:00, 1.1250, 1.1251, 1.1246, 1.1248, 311, 231, 153, 158
2019/11/1, 06:00:00, 1.1249, 1.1254, 1.1233, 1.1234, 978, 677, 570, 408
2019/11/1, 10:00:00, 1.1234, 1.1243, 1.1213, 1.1232, 3249, 1964, 1734, 1515
2019/11/1, 14:00:00, 1.1236, 1.1257, 1.1233, 1.1247, 2579, 1652, 1197, 1382
2019/11/1, 18:00:00, 1.1247, 1.1254, 1.1244, 1.1250, 454, 320, 264, 190
2019/11/3, 22:00:00, 1.1252, 1.1252, 1.1244, 1.1251, 233, 174, 106, 127
2019/11/4, 02:00:00, 1.1251, 1.1258, 1.1249, 1.1252, 497, 318, 242, 255
2019/11/4, 06:00:00, 1.1251, 1.1260, 1.1233, 1.1249, 1495, 1048, 812, 683
2019/11/4, 10:00:00, 1.1249, 1.1255, 1.1236, 1.1241, 1180, 891, 674, 506
2019/11/4, 14:00:00, 1.1240, 1.1240, 1.1224, 1.1225, 1581, 1047, 966, 615
2019/11/4, 18:00:00, 1.1225, 1.1227, 1.1206, 1.1211, 1228, 688, 741, 487
2019/11/4, 22:00:00, 1.1206, 1.1214, 1.1205, 1.1209, 291, 232, 163, 128
2019/11/5, 02:00:00, 1.1209, 1.1211, 1.1195, 1.1211, 444, 348, 255, 189
2019/11/5, 06:00:00, 1.1211, 1.1223, 1.1207, 1.1213, 1086, 707, 585, 501
2019/11/5, 10:00:00, 1.1213, 1.1214, 1.1178, 1.1183, 2136, 1496, 1200, 936
2019/11/5, 14:00:00, 1.1182, 1.1182, 1.1146, 1.1150, 3313, 2152, 1640, 1673
2019/11/5, 18:00:00, 1.1152, 1.1157, 1.1145, 1.1155, 706, 463, 392, 314
2019/11/5, 22:00:00, 1.1157, 1.1157, 1.1147, 1.1156, 356, 237, 199, 157
2019/11/6, 02:00:00, 1.1158, 1.1162, 1.1152, 1.1157, 396, 324, 178, 218
2019/11/6, 06:00:00, 1.1157, 1.1175, 1.1154, 1.1172, 1091, 813, 508, 583
2019/11/6, 10:00:00, 1.1174, 1.1174, 1.1160, 1.1170, 1265, 882, 675, 590
2019/11/6, 14:00:00, 1.1169, 1.1171, 1.1144, 1.1149, 1828, 1214, 1131, 697
2019/11/6, 18:00:00, 1.1150, 1.1155, 1.1147, 1.1148, 691, 461, 310, 381
2019/11/6, 22:00:00, 1.1148, 1.1150, 1.1143, 1.1143, 302, 222, 204, 98
2019/11/7, 02:00:00, 1.1144, 1.1145, 1.1134, 1.1140, 839, 471, 445, 394
2019/11/7, 06:00:00, 1.1140, 1.1163, 1.1138, 1.1157, 2083, 1281, 687, 1396
2019/11/7, 10:00:00, 1.1157, 1.1172, 1.1144, 1.1147, 2489, 1563, 1173, 1316
2019/11/7, 14:00:00, 1.1147, 1.1149, 1.1115, 1.1119, 3019, 1986, 1558, 1461
2019/11/7, 18:00:00, 1.1120, 1.1132, 1.1118, 1.1130, 969, 625, 491, 478
2019/11/7, 22:00:00, 1.1128, 1.1132, 1.1125, 1.1131, 259, 191, 146, 113
2019/11/8, 02:00:00, 1.1130, 1.1133, 1.1125, 1.1131, 318, 199, 205, 113
2019/11/8, 06:00:00, 1.1131, 1.1135, 1.1117, 1.1118, 1193, 735, 559, 634
2019/11/8, 10:00:00, 1.1118, 1.1127, 1.1106, 1.1110, 1878, 1246, 950, 928
2019/11/8, 14:00:00, 1.1109, 1.1112, 1.1096, 1.1099, 1777, 1117, 889, 888
2019/11/8, 18:00:00, 1.1100, 1.1104, 1.1097, 1.1104, 499, 325, 227, 272
2019/11/10, 22:00:00, 1.1104, 1.1104, 1.1095, 1.1097, 342, 217, 225, 117
2019/11/11, 02:00:00, 1.1096, 1.1103, 1.1096, 1.1103, 273, 188, 80, 193
2019/11/11, 06:00:00, 1.1103, 1.1111, 1.1099, 1.1108, 943, 635, 534, 409
2019/11/11, 10:00:00, 1.1108, 1.1122, 1.1103, 1.1117, 1339, 993, 620, 719
2019/11/11, 14:00:00, 1.1116, 1.1119, 1.1109, 1.1117, 869, 649, 458, 411
2019/11/11, 18:00:00, 1.1116, 1.1117, 1.1110, 1.1111, 315, 229, 169, 146
2019/11/11, 22:00:00, 1.1111, 1.1115, 1.1105, 1.1106, 289, 199, 143, 146
2019/11/12, 02:00:00, 1.1105, 1.1114, 1.1103, 1.1113, 395, 233, 171, 224
2019/11/12, 06:00:00, 1.1112, 1.1115, 1.1097, 1.1110, 1286, 908, 561, 725
2019/11/12, 10:00:00, 1.1111, 1.1117, 1.1089, 1.1099, 1790, 1255, 947, 843
2019/11/12, 14:00:00, 1.1098, 1.1100, 1.1079, 1.1089, 2098, 1428, 1086, 1012
2019/11/12, 18:00:00, 1.1088, 1.1092, 1.1082, 1.1086, 527, 354, 285, 242
2019/11/12, 22:00:00, 1.1088, 1.1091, 1.1085, 1.1087, 195, 167, 125, 70
2019/11/13, 02:00:00, 1.1087, 1.1093, 1.1085, 1.1091, 281, 199, 118, 163
2019/11/13, 06:00:00, 1.1092, 1.1095, 1.1075, 1.1093, 1326, 971, 655, 671
2019/11/13, 10:00:00, 1.1092, 1.1097, 1.1076, 1.1084, 1898, 1176, 1250, 648
2019/11/13, 14:00:00, 1.1084, 1.1093, 1.1072, 1.1077, 2211, 1427, 1316, 895
2019/11/13, 18:00:00, 1.1075, 1.1085, 1.1074, 1.1085, 498, 359, 238, 260
2019/11/13, 22:00:00, 1.1083, 1.1085, 1.1079, 1.1079, 303, 192, 134, 169
2019/11/14, 02:00:00, 1.1078, 1.1080, 1.1070, 1.1072, 603, 383, 222, 381
2019/11/14, 06:00:00, 1.1073, 1.1090, 1.1069, 1.1074, 1715, 1169, 812, 903
2019/11/14, 10:00:00, 1.1076, 1.1079, 1.1064, 1.1073, 1605, 1102, 819, 786
2019/11/14, 14:00:00, 1.1074, 1.1095, 1.1068, 1.1092, 1843, 1276, 928, 915
2019/11/14, 18:00:00, 1.1092, 1.1103, 1.1091, 1.1096, 1245, 728, 674, 571
2019/11/14, 22:00:00, 1.1096, 1.1101, 1.1092, 1.1099, 281, 210, 138, 143
2019/11/15, 02:00:00, 1.1099, 1.1104, 1.1095, 1.1095, 346, 276, 166, 180
2019/11/15, 06:00:00, 1.1095, 1.1099, 1.1088, 1.1092, 1059, 733, 570, 489
2019/11/15, 10:00:00, 1.1093, 1.1117, 1.1093, 1.1116, 1594, 1040, 653, 941
2019/11/15, 14:00:00, 1.1116, 1.1129, 1.1112, 1.1128, 2490, 1571, 1280, 1210
2019/11/15, 18:00:00, 1.1127, 1.1131, 1.1119, 1.1119, 638, 469, 390, 248
2019/11/17, 22:00:00, 1.1125, 1.1131, 1.1124, 1.1131, 290, 205, 117, 173
2019/11/18, 02:00:00, 1.1132, 1.1138, 1.1132, 1.1134, 451, 358, 235, 216
2019/11/18, 06:00:00, 1.1135, 1.1141, 1.1127, 1.1134, 992, 721, 553, 439
2019/11/18, 10:00:00, 1.1135, 1.1140, 1.1127, 1.1128, 1136, 801, 632, 504
2019/11/18, 14:00:00, 1.1130, 1.1164, 1.1129, 1.1155, 2860, 1758, 1440, 1420
2019/11/18, 18:00:00, 1.1155, 1.1156, 1.1144, 1.1146, 667, 450, 333, 334
2019/11/18, 22:00:00, 1.1146, 1.1146, 1.1136, 1.1142, 407, 247, 209, 198
2019/11/19, 02:00:00, 1.1142, 1.1151, 1.1142, 1.1148, 322, 222, 152, 170
2019/11/19, 06:00:00, 1.1148, 1.1154, 1.1137, 1.1141, 1362, 806, 676, 686
2019/11/19, 10:00:00, 1.1141, 1.1159, 1.1137, 1.1149, 1932, 1201, 1003, 929
2019/11/19, 14:00:00, 1.1149, 1.1157, 1.1144, 1.1153, 1578, 1078, 796, 782
2019/11/19, 18:00:00, 1.1153, 1.1155, 1.1148, 1.1151, 427, 292, 217, 210
2019/11/19, 22:00:00, 1.1149, 1.1152, 1.1142, 1.1144, 307, 195, 173, 134
2019/11/20, 02:00:00, 1.1144, 1.1148, 1.1142, 1.1145, 230, 162, 117, 113
2019/11/20, 06:00:00, 1.1144, 1.1145, 1.1127, 1.1136, 1362, 866, 806, 556
2019/11/20, 10:00:00, 1.1134, 1.1140, 1.1124, 1.1136, 1516, 972, 749, 767
2019/11/20, 14:00:00, 1.1136, 1.1153, 1.1130, 1.1139, 2680, 1645, 1215, 1465
2019/11/20, 18:00:00, 1.1138, 1.1147, 1.1135, 1.1144, 584, 351, 336, 248
2019/11/20, 22:00:00, 1.1146, 1.1149, 1.1145, 1.1147, 385, 202, 168, 217
2019/11/21, 02:00:00, 1.1147, 1.1148, 1.1143, 1.1147, 265, 209, 153, 112
2019/11/21, 06:00:00, 1.1147, 1.1159, 1.1140, 1.1156, 1108, 733, 450, 658
2019/11/21, 10:00:00, 1.1155, 1.1168, 1.1145, 1.1146, 2128, 1242, 1014, 1114
2019/11/21, 14:00:00, 1.1146, 1.1152, 1.1130, 1.1132, 2055, 1297, 1095, 960
2019/11/21, 18:00:00, 1.1132, 1.1132, 1.1121, 1.1128, 920, 598, 552, 368
2019/11/21, 22:00:00, 1.1132, 1.1135, 1.1129, 1.1133, 244, 164, 85, 159
2019/11/22, 02:00:00, 1.1133, 1.1136, 1.1130, 1.1135, 144, 118, 94, 50
2019/11/22, 06:00:00, 1.1135, 1.1157, 1.1115, 1.1129, 2619, 1633, 1295, 1324
2019/11/22, 10:00:00, 1.1129, 1.1137, 1.1120, 1.1126, 1244, 812, 775, 469
2019/11/22, 14:00:00, 1.1127, 1.1128, 1.1090, 1.1092, 2689, 1724, 1446, 1243
2019/11/22, 18:00:00, 1.1093, 1.1098, 1.1083, 1.1086, 1194, 776, 621, 573
2019/11/24, 22:00:00, 1.1088, 1.1094, 1.1088, 1.1092, 293, 211, 141, 152
2019/11/25, 02:00:00, 1.1092, 1.1098, 1.1087, 1.1097, 435, 271, 209, 226
2019/11/25, 06:00:00, 1.1097, 1.1100, 1.1078, 1.1082, 1443, 900, 726, 717
2019/11/25, 10:00:00, 1.1082, 1.1087, 1.1073, 1.1085, 1250, 843, 592, 658
2019/11/25, 14:00:00, 1.1085, 1.1093, 1.1071, 1.1074, 2346, 1409, 1195, 1151
2019/11/25, 18:00:00, 1.1073, 1.1082, 1.1073, 1.1080, 685, 359, 278, 407
2019/11/25, 22:00:00, 1.1079, 1.1081, 1.1073, 1.1079, 271, 190, 138, 133
2019/11/26, 02:00:00, 1.1079, 1.1083, 1.1076, 1.1081, 223, 143, 96, 127
2019/11/26, 06:00:00, 1.1082, 1.1087, 1.1078, 1.1080, 891, 525, 488, 403
2019/11/26, 10:00:00, 1.1080, 1.1092, 1.1080, 1.1084, 1212, 721, 602, 610
2019/11/26, 14:00:00, 1.1085, 1.1089, 1.1074, 1.1087, 1870, 946, 1112, 758
2019/11/26, 18:00:00, 1.1087, 1.1092, 1.1084, 1.1087, 679, 376, 345, 334
2019/11/26, 22:00:00, 1.1089, 1.1090, 1.1081, 1.1082, 290, 128, 226, 64
2019/11/27, 02:00:00, 1.1082, 1.1085, 1.1074, 1.1076, 345, 201, 239, 106
2019/11/27, 06:00:00, 1.1076, 1.1080, 1.1069, 1.1076, 1333, 748, 596, 737
2019/11/27, 10:00:00, 1.1075, 1.1080, 1.1065, 1.1069, 1663, 981, 918, 745
2019/11/27, 14:00:00, 1.1068, 1.1072, 1.1058, 1.1067, 2342, 1358, 1158, 1184
2019/11/27, 18:00:00, 1.1066, 1.1076, 1.1064, 1.1065, 793, 478, 364, 429
2019/11/27, 22:00:00, 1.1069, 1.1072, 1.1068, 1.1071, 308, 157, 104, 204
2019/11/28, 02:00:00, 1.1072, 1.1072, 1.1068, 1.1072, 218, 92, 47, 171
2019/11/28, 06:00:00, 1.1071, 1.1082, 1.1070, 1.1078, 806, 516, 353, 453
2019/11/28, 10:00:00, 1.1078, 1.1080, 1.1065, 1.1073, 1344, 776, 765, 579
2019/11/28, 14:00:00, 1.1073, 1.1074, 1.1067, 1.1072, 627, 345, 350, 277
2019/11/28, 22:00:00, 1.1075, 1.1077, 1.1073, 1.1075, 115, 84, 59, 56
2019/11/29, 02:00:00, 1.1076, 1.1077, 1.1073, 1.1075, 164, 111, 70, 94
2019/11/29, 06:00:00, 1.1074, 1.1076, 1.1066, 1.1068, 844, 431, 408, 436
